Time (s),Initial Couch HRR (kW),Flashover HRR (kW),Wood Balcony HRR (kW),Total HRR (kW)
0,0,0,0,0
17,5,0,0,5
23,5,0,0,5
25,16,0,0,16
35,12,0,0,12
46,12,0,0,12
53,16,0,0,16
65,20,0,0,20
80,49,0,0,49
98,98,0,0,98
112,147,0,0,147
125,199,0,0,199
133,225,0,0,225
142,236,0,0,236
144,259,0,0,259
147,266,0,0,266
157,334,0,0,334
161,338,0,0,338
167,367,0,0,367
177,420,0,0,420
184,431,0,0,431
188,424,0,0,424
195,487,0,0,487
197,543,0,0,543
201,622,0,0,622
204,637,0,0,637
205,685,0,0,685
208,715,0,0,715
215,749,0,0,749
222,786,0,0,786
230,839,0,0,839
235,869,0,0,869
241,914,0,0,914
244,996,0,0,996
246,1037,0,0,1037
247,1041,0,0,1041
250,1074,0,0,1074
251,1078,0,0,1078
253,1149,0,0,1149
257,1213,0,0,1213
260,1303,0,0,1303
269,1580,0,0,1580
273,1733,0,0,1733
279,1793,0,0,1793
282,1883,0,0,1883
285,2006,0,0,2006
288,2118,0,0,2118
292,2350,0,0,2350
295,2560,0,0,2560
296,2687,0,0,2687
297,2952,0,0,2952
299,3110,0,0,3110
300,3238,0,0,3238
302,3495,667,0,4162
304,3686,1333,0,5019
306,3862,2000,0,5862
308,3963,2667,0,6630
310,4127,3333,0,7460
312,4262,4000,0,8262
314,4314,4667,0,8981
317,4468,5667,0,10135
319,4580,6333,0,10913
321,4688,7000,0,11688
322,4715,7333,0,12048
323,4812,7667,0,12479
326,4946,8667,0,13613
327,5000,9000,0,14000
342,5000,14000,0,19000
440,5000,14000,0,19000
450,5000,14000,937,19937
540,5000,14000,937,19937
